participant_id,condition,trial,rt,correct
P001,A,1,343,1
P001,A,2,346,1
P001,A,3,349,1
P001,A,4,352,1
P001,A,5,355,1
P001,A,6,358,1
P001,A,7,340,1
P001,A,8,343,1
P001,A,9,346,0
P001,A,10,349,1
P001,A,11,352,1
P001,A,12,355,1
P001,A,13,358,1
P001,A,14,340,1
P001,A,15,343,1
P001,A,16,346,1
P001,A,17,349,1
P001,A,18,352,0
P001,A,19,355,1
P001,A,20,358,1
P001,A,21,340,1
P001,A,22,343,1
P001,A,23,346,1
P001,A,24,349,1
P001,A,25,352,1
P001,A,26,355,1
P001,A,27,358,0
P001,A,28,340,1
P001,A,29,343,1
P001,A,30,346,1
P001,A,31,349,1
P001,A,32,352,1
P001,A,33,355,1
P001,A,34,358,1
P001,A,35,340,1
P001,A,36,343,0
P001,A,37,346,1
P001,A,38,349,1
P001,A,39,352,1
P001,A,40,355,1
