participant_id,condition,trial,rt,correct
P004,B,1,378,1
P004,B,2,381,1
P004,B,3,384,1
P004,B,4,375,1
P004,B,5,378,1
P004,B,6,381,0
P004,B,7,384,1
P004,B,8,375,1
P004,B,9,378,1
P004,B,10,381,1
P004,B,11,384,1
P004,B,12,375,0
P004,B,13,378,1
P004,B,14,381,1
P004,B,15,384,1
P004,B,16,375,1
P004,B,17,378,1
P004,B,18,381,0
P004,B,19,384,1
P004,B,20,375,1
P004,B,21,378,1
P004,B,22,381,1
P004,B,23,384,1
P004,B,24,375,0
P004,B,25,378,1
P004,B,26,381,1
P004,B,27,384,1
P004,B,28,375,1
P004,B,29,378,1
P004,B,30,381,0
P004,B,31,384,1
P004,B,32,375,1
P004,B,33,378,1
P004,B,34,381,1
P004,B,35,384,1
P004,B,36,375,0
P004,B,37,378,1
P004,B,38,381,1
P004,B,39,384,1
